№,Hours,Minutes,Seconds,Microseconds
1,19,10,56,610358
2,19,10,56,710889
3,19,10,56,811121
4,19,10,56,911734
5,19,10,57,12286
6,19,10,57,112549
7,19,10,57,213112
8,19,10,57,313397
9,19,10,57,413664
10,19,10,57,513958
11,19,10,57,614221
12,19,10,57,714441
13,19,10,57,814660
14,19,10,57,914951
15,19,10,58,15285
16,19,10,58,115537
17,19,10,58,215778
18,19,10,58,316068
19,19,10,58,416371
20,19,10,58,516582
21,19,10,58,616996
22,19,10,58,717333
23,19,10,58,817507
24,19,10,58,917768
25,19,10,59,18087
26,19,10,59,118409
27,19,10,59,218674
28,19,10,59,318894
29,19,10,59,419182
30,19,10,59,519636
31,19,10,59,620144
32,19,10,59,720690
33,19,10,59,820952
34,19,10,59,921135
35,19,11,0,21404
36,19,11,0,121701
37,19,11,0,222004
38,19,11,0,322334
39,19,11,0,422827
40,19,11,0,523359
41,19,11,0,623902
42,19,11,0,724183
43,19,11,0,824392
44,19,11,0,924990
45,19,11,1,25255
46,19,11,1,125550
47,19,11,1,225824
48,19,11,1,326091
49,19,11,1,426379
50,19,11,1,526789
51,19,11,1,627063
52,19,11,1,727355
53,19,11,1,827812
54,19,11,1,928360
55,19,11,2,28698
56,19,11,2,129031
57,19,11,2,229328
58,19,11,2,329585
59,19,11,2,429895
60,19,11,2,530189
61,19,11,2,630472
62,19,11,2,730783
63,19,11,2,831059
64,19,11,2,931305
65,19,11,3,31573
66,19,11,3,131869
67,19,11,3,232288
68,19,11,3,332480
69,19,11,3,432685
70,19,11,3,532938
71,19,11,3,633177
72,19,11,3,733517
73,19,11,3,833799
74,19,11,3,934255
75,19,11,4,34748
76,19,11,4,135212
77,19,11,4,235527
78,19,11,4,335988
79,19,11,4,436562
80,19,11,4,536852
81,19,11,4,637145
82,19,11,4,737457
83,19,11,4,837763
84,19,11,4,938069
85,19,11,5,38358
86,19,11,5,138659
87,19,11,5,238975
88,19,11,5,339305
89,19,11,5,439744
90,19,11,5,540158
91,19,11,5,640518
92,19,11,5,740878
93,19,11,5,841165
94,19,11,5,941604
95,19,11,6,41921
96,19,11,6,142413
97,19,11,6,242934
98,19,11,6,343493
99,19,11,6,444062
100,19,11,6,544581
101,19,11,6,645024
102,19,11,6,745354
103,19,11,6,845768
104,19,11,6,946269
105,19,11,7,46792
106,19,11,7,147267
107,19,11,7,247647
108,19,11,7,347958
109,19,11,7,448428
110,19,11,7,548759
111,19,11,7,649032
112,19,11,7,749344
113,19,11,7,849789
114,19,11,7,950290
115,19,11,8,50753
116,19,11,8,151258
117,19,11,8,251792
118,19,11,8,352361
119,19,11,8,452986
120,19,11,8,553326
121,19,11,8,653605
122,19,11,8,754073
123,19,11,8,854532
124,19,11,8,955070
125,19,11,9,55415
126,19,11,9,155820
127,19,11,9,256140
128,19,11,9,356366
129,19,11,9,456710
130,19,11,9,556966
131,19,11,9,657385
132,19,11,9,757701
133,19,11,9,858016
134,19,11,9,958311
135,19,11,10,58827
136,19,11,10,159374
137,19,11,10,259678
138,19,11,10,360248
139,19,11,10,460834
140,19,11,10,561141
141,19,11,10,661491
142,19,11,10,761796
143,19,11,10,862052
144,19,11,10,962526
145,19,11,11,63046
146,19,11,11,163337
147,19,11,11,263640
148,19,11,11,364022
149,19,11,11,464515
150,19,11,11,564818
151,19,11,11,665143
152,19,11,11,765427
153,19,11,11,865891
154,19,11,11,966191
155,19,11,12,66613
156,19,11,12,167129
157,19,11,12,267633
158,19,11,12,368191
159,19,11,12,468709
160,19,11,12,568988
161,19,11,12,669225
162,19,11,12,769559
163,19,11,12,870192
164,19,11,12,970700
165,19,11,13,71402
166,19,11,13,171946
167,19,11,13,272360
168,19,11,13,372698
169,19,11,13,473328
170,19,11,13,573601
171,19,11,13,673921
172,19,11,13,774240
173,19,11,13,874773
174,19,11,13,975366
175,19,11,14,75966
176,19,11,14,176582
177,19,11,14,276895
178,19,11,14,377235
179,19,11,14,477636
180,19,11,14,577951
181,19,11,14,678290
182,19,11,14,778605
183,19,11,14,878817
184,19,11,14,979001
185,19,11,15,79282
186,19,11,15,179714
187,19,11,15,279989
188,19,11,15,380290
189,19,11,15,480796
190,19,11,15,581102
191,19,11,15,681780
192,19,11,15,782273
193,19,11,15,882736
194,19,11,15,983271
195,19,11,16,83899
196,19,11,16,184501
197,19,11,16,285071
198,19,11,16,385408
199,19,11,16,485683
200,19,11,16,585991
201,19,11,16,686506
202,19,11,16,786981
203,19,11,16,887559
204,19,11,16,988156
205,19,11,17,88785
206,19,11,17,189091
207,19,11,17,289390
208,19,11,17,389832
209,19,11,17,490196
210,19,11,17,590443
211,19,11,17,690936
212,19,11,17,791249
213,19,11,17,891585
214,19,11,17,991924
215,19,11,18,92252
216,19,11,18,192800
217,19,11,18,293061
218,19,11,18,393367
219,19,11,18,493693
220,19,11,18,594198
221,19,11,18,694710
222,19,11,18,795016
223,19,11,18,895332
224,19,11,18,995837
225,19,11,19,96369
226,19,11,19,196944
227,19,11,19,297199
228,19,11,19,397547
229,19,11,19,498026
230,19,11,19,598325
231,19,11,19,698737
232,19,11,19,799241
233,19,11,19,899816
234,19,11,20,399
235,19,11,20,100633
236,19,11,20,200796
237,19,11,20,300971
238,19,11,20,401178
239,19,11,20,501375
240,19,11,20,601851
241,19,11,20,702524
242,19,11,20,802959
243,19,11,20,903485
244,19,11,21,4025
245,19,11,21,104630
246,19,11,21,205042
247,19,11,21,305378
248,19,11,21,405715
249,19,11,21,505989
250,19,11,21,606475
251,19,11,21,707071
252,19,11,21,807370
253,19,11,21,907679
254,19,11,22,8085
255,19,11,22,108583
256,19,11,22,208971
257,19,11,22,309220
258,19,11,22,409555
259,19,11,22,510004
260,19,11,22,610209
261,19,11,22,710722
262,19,11,22,811033
263,19,11,22,911361
264,19,11,23,11916
265,19,11,23,112494
266,19,11,23,212828
267,19,11,23,313087
268,19,11,23,413413
269,19,11,23,513875
270,19,11,23,614357
271,19,11,23,714863
272,19,11,23,815396
273,19,11,23,915938
274,19,11,24,16662
275,19,11,24,117268
276,19,11,24,217572
277,19,11,24,317875
278,19,11,24,418390
279,19,11,24,518901
280,19,11,24,619446
281,19,11,24,719987
282,19,11,24,820396
283,19,11,24,920947
284,19,11,25,21209
285,19,11,25,121542
286,19,11,25,221878
287,19,11,25,322294
288,19,11,25,422756
289,19,11,25,523312
290,19,11,25,623832
291,19,11,25,724433
292,19,11,25,825012
293,19,11,25,925329
294,19,11,26,25759
295,19,11,26,126352
296,19,11,26,226711
297,19,11,26,327121
298,19,11,26,427625
299,19,11,26,528159
300,19,11,26,628744
